pBrakeF1,rThrottlePedal,vCar
0.1,63.8,193.1
0.1,63.7,193.1
0.1,63.3,193.1
0.1,62.8,193.1
0.1,62.3,193.1
0.1,61.7,193.1
0.1,60.9,193.1
0.1,59.8,193
0.1,58.7,193
0.1,57.7,192.9
0.1,56.6,192.9
0.1,55.4,192.8
0.1,54.3,192.8
0.1,53.1,192.7
0.1,51.9,192.6
0.1,51,192.5
0.1,50.2,192.4
0.1,49.5,192.3
0.1,48.7,192.2
0.1,48,192.1
0.1,47.6,191.9
0.1,47.2,191.8
0.1,46.8,191.7
0.1,46.8,191.5
0.1,46.9,191.4
0.1,47.1,191.3
0.1,47.3,191.2
0.1,47.5,191
0.1,47.8,190.9
0.1,48.2,190.8
0.1,48.6,190.7
0.1,49.1,190.5
0.1,49.7,190.4
0.1,50.4,190.3
0.1,51.1,190.2
0.1,51.8,190.1
0.1,52.5,190
0.1,53.3,190
0.1,54.1,189.9
0.1,55,189.8
0.1,55.9,189.8
0.1,56.9,189.7
0.1,57.9,189.7
0.1,58.9,189.6
0.1,60,189.6
0.1,61,189.6
0.1,62.2,189.6
0.1,63.3,189.5
0.1,64.5,189.5
0.1,65.7,189.6
0.1,66.9,189.6
0.1,68.1,189.6
0.1,69.2,189.7
0.1,70.4,189.7
0.1,71.5,189.8
0.1,72.5,189.9
0.1,73.5,189.9
0.1,74.5,190
0.1,75.2,190.1
0.1,76,190.2
0.1,76.7,190.3
0.1,77.4,190.4
0.1,78,190.5
0.1,78.5,190.7
0.1,79,190.8
0.1,79.5,190.9
0.1,79.9,191.1
0.1,80.3,191.2
0.1,80.6,191.3
0.1,81,191.5
0.1,81.3,191.6
0.1,81.6,191.8
0.1,82,191.9
0.1,82.3,192.1
0.1,82.7,192.2
0.1,83.1,192.4
0.1,83.5,192.5
0.1,83.9,192.7
0.1,84.3,192.9
0.1,84.8,193
0.1,85.3,193.2
0.1,85.8,193.4
0.1,86.3,193.5
0.1,86.9,193.7
0.1,87.6,193.9
0.1,88.2,194.1
0.1,88.9,194.3
0.1,89.5,194.5
0.1,90.3,194.7
0.1,91,194.9
0.1,91.7,195.1
0.1,92.6,195.3
0.1,93.4,195.5
0.1,94.2,195.8
0.1,95,196
0.1,95.7,196.2
0.1,96.5,196.4
0.1,97.1,196.7
0.1,97.8,196.9
0.1,98.4,197.2
0.1,98.9,197.4
0.1,99.2,197.7
0.1,99.4,197.9
0.1,99.7,198.2
0.1,100,198.4
0.1,100,198.7
0.1,100,198.9
0.1,99.9,199.1
0.1,100,199.4
0.1,100,199.6
0.1,100,199.9
0.1,100,200.1
0.1,100,200.3
0.1,100,200.6
